LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182409,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182410,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182411,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182412,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182413,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182414,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182415,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182416,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182417,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182418,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182419,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182420,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182421,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182422,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182423,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182424,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:27,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182425,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182426,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182427,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182428,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182429,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182430,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182431,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182432,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182433,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182434,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182435,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182436,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182437,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182438,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182439,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182440,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182441,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182442,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182443,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182444,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:28,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182445,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182446,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182447,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182448,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182449,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182450,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:29,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182451,The Windows Filtering Platform has blocked a packet.
